Region,Tenancy ,OS,vCPU ,RAM,SSD ,Cost ,,,
India,Shared Instance,Linux ,2,4,375,142.41,,,
India,Shared Instance,Linux ,8,16,375,433.32,,,
India,Shared Instance,Linux ,8,32,375,496.1,,,
India,Shared Instance,Linux ,8,64,375,610.71,,,
India,Shared Instance,Linux ,16,128,375,1123.17,,,
India,Shared Instance,Linux ,48,96,375,2108.67,,,
India,Shared Instance,Linux ,4,16,375,274.84,,,
India,Dedicated Instance,Linux ,8,16,375,1913.76,,,
India,Dedicated Instance,Linux ,8,32,375,1980.19,,,
India,Dedicated Instance,Linux ,8,64,375,2101.37,,,
India,Dedicated Instance,Linux ,16,128,375,2644.49,,,
India,Dedicated Instance,Linux ,48,96,375,3689.12,,,
India,Shared Instance,Windows Server,2,4,375,155.85,,,
India,Shared Instance,Windows Server,4,16,375,328.56,,,
India,Shared Instance,Windows Server,8,16,375,701.96,,,
India,Shared Instance,Windows Server,8,32,375,764.74,,,
India,Shared Instance,Windows Server,8,64,375,879.35,,,
India,Shared Instance,Windows Server,16,128,375,1660.45,,,
India,Shared Instance,Windows Server,48,96,375,3720.51,,,
India,Dedicated Instance,Windows Server,8,16,375,2182.4,,,
India,Dedicated Instance,Windows Server,8,32,375,2248.83,,,
India,Dedicated Instance,Windows Server,8,64,375,2370.01,,,
India,Dedicated Instance,Windows Server,16,128,375,3181.77,,,
India,Dedicated Instance,Windows Server,48,96,375,5300.96,,,
India,Shared Instance,Ubuntu Pro,2,4,375,144.97,,,
India,Shared Instance,Ubuntu Pro,4,16,375,279.95,,,
India,Shared Instance,Ubuntu Pro,8,16,375,443.54,,,
India,Shared Instance,Ubuntu Pro,8,32,375,506.32,,,
India,Shared Instance,Ubuntu Pro,8,64,375,620.93,,,
India,Shared Instance,Ubuntu Pro,16,128,375,1143.61,,,
India,Shared Instance,Ubuntu Pro,48,96,375,2169.99,,,
India,Dedicated Instance,Ubuntu Pro,8,16,375,1923.98,,, 
India,Dedicated Instance,Ubuntu Pro,8,32,375,2006.47,,,
India,Dedicated Instance,Ubuntu Pro,8,64,375,2111.59,,,
India,Dedicated Instance,Ubuntu Pro,16,128,375,2664.93,,,
India,Dedicated Instance,Ubuntu Pro,48,96,375,3750.44,,,
India,Shared Instance,Red Hat Enterprise Linux,2,4,375,163.44,,,
India,Shared Instance,Red Hat Enterprise Linux,4,16,375,316.88,,,
India,Shared Instance,Red Hat Enterprise Linux,8,16,375,443.54,,,
India,Shared Instance,Red Hat Enterprise Linux,8,32,375,580.78,,,
India,Shared Instance,Red Hat Enterprise Linux,8,64,375,694.66,,,
India,Shared Instance,Red Hat Enterprise Linux,16,128,375,1249.46,,,
India,Shared Instance,Red Hat Enterprise Linux,48,96,375,2486.81,,,
India,Dedicated Instance,Red Hat Enterprise Linux,8,16,375,1997.71,,,
India,Dedicated Instance,Red Hat Enterprise Linux,8,32,375,2006.47,,,
India,Dedicated Instance,Red Hat Enterprise Linux,8,64,375,2185.32,,,
India,Dedicated Instance,Red Hat Enterprise Linux,16,128,375,2770.78,,,
India,Dedicated Instance,Red Hat Enterprise Linux,48,96,375,4067.99,,,
