Region,Category,OS,Type,vCPU ,RAM,SSD ,Cost ,Instance Type
India,General Purpose ,Windows,OS only,2,4,375,56.35,Dedicated
India,General Purpose ,Windows,OS only,4,16,375,117.09,Dedicated
India,General Purpose ,Windows,OS only,8,16,375,399.69,Dedicated
India,General Purpose ,Windows,OS only,8,32,375,185.71,Dedicated
India,General Purpose ,Windows,OS only,16,32,375,674.9,Dedicated
India,General Purpose ,Windows,OS only,2,4,750,88.03,Dedicated
India,General Purpose ,Windows,OS only,4,16,750,148.77,Dedicated
India,General Purpose ,Windows,OS only,8,16,750,217.39,Dedicated
India,General Purpose ,Windows,OS only,8,32,750,234.18,Dedicated
India,General Purpose ,Windows,OS only,16,32,750,371.42,Dedicated
India,General Purpose ,Windows,OS only,16,64,375,372.59,Dedicated
India,General Purpose ,Windows,OS only,16,64,750,404.27,Dedicated
India,General Purpose ,Windows,OS only,32,64,375,647.8,Dedicated
India,General Purpose ,Windows,OS only,32,64,750,679.48,Dedicated
India,Compute Optimized ,Windows,OS only,2,4,375,155.78,Dedicated
India,Compute Optimized ,Windows,OS only,4,8,375,279.88,Dedicated
India,Compute Optimized ,Windows,OS only,8,16,375,528.81,Dedicated
India,Compute Optimized ,Windows,OS only,16,32,375,"1,025.94",Dedicated
India,Compute Optimized ,Windows,OS only,2,4,750,187.46,Dedicated
India,Compute Optimized ,Windows,OS only,8,16,750,560.49,Dedicated
India,Compute Optimized ,Windows,OS only,16,32,750,"1,057.62",Dedicated
India,Compute Optimized ,Windows,OS only,32,64,375,"2,019.47",Dedicated
India,Compute Optimized ,Windows,OS only,32,64,750,"2,051.15",Dedicated
India,Compute Optimized ,Windows,OS only,4,8,750,311.56,Dedicated
India,Storage Optimized ,Windows,OS only,8,64,375,817.16,Dedicated
India,Storage Optimized ,Windows,OS only,16,128,375,"1,602.64",Dedicated
India,Storage Optimized ,Windows,OS only,32,256,375,"3,141.92",Dedicated
India,Storage Optimized ,Windows,OS only,48,384,375,"4,744.56",Dedicated
India,Storage Optimized ,Windows,OS only,64,512,375,"6,283.84",Dedicated
India,Storage Optimized ,Windows,OS only,80,640,375,"7,886.48",Dedicated
India,Memory Optimized ,Windows,OS only,1,14,375,237.54,Dedicated
India,Memory Optimized ,Windows,OS only,1,28,375,442.67,Dedicated
India,Memory Optimized ,Windows,OS only,2,28,750,474.35,Dedicated
India,Memory Optimized ,Windows,OS only,4,56,375,853.66,Dedicated
India,Memory Optimized ,Windows,OS only,4,112,375,"1,643.96",Dedicated
India,Memory Optimized ,Windows,OS only,8,112,375,"1,675.64",Dedicated
India,Memory Optimized ,Windows,OS only,4,64,375,542.68,Dedicated
India,Memory Optimized ,Windows,OS only,4,128,375,"1,053.68",Dedicated
India,Memory Optimized ,Windows,OS only,8,128,375,"1,053.68",Dedicated
India,Memory Optimized ,Windows,OS only,8,256,375,"2,076.41",Dedicated
India,Memory Optimized ,Windows,OS only,16,256,375,"2,076.41",Dedicated
India,General Purpose ,Linux,Ubuntu Pro,2,4,375,62.05,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,2,8,375,80.01,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,2,1,375,48.58,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,4,8,375,117.97,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,4,16,375,126.14,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,8,16,375,196.66,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,8,32,375,213.45,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,16,32,375,353.61,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,16,64,375,386.46,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,32,64,375,638.31,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,32,128,375,704.01,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,2,4,750,93.73,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,2,8,750,111.69,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,2,1,750,80.26,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,4,8,750,149.65,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,4,16,750,157.82,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,8,16,750,228.34,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,8,32,750,245.13,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,16,32,750,385.29,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,16,64,750,418.14,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,32,64,750,669.99,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,32,128,750,735.69,Dedicated
