Region,Category,OS,Type,vCPU ,RAM,SSD ,Cost ,Instance Type
India,General Purpose ,Windows,OS only,2,4,375,114.61,Dedicated
India,General Purpose ,Windows,OS only,4,16,375,219.62,Dedicated
India,General Purpose ,Windows,OS only,8,16,375,336.03,Dedicated
India,General Purpose ,Windows,OS only,8,32,375,398.43,Dedicated
India,General Purpose ,Windows,OS only,16,32,375,631.26,Dedicated
India,General Purpose ,Windows,OS only,2,4,750,150.61,Dedicated
India,General Purpose ,Windows,OS only,4,16,750,255.62,Dedicated
India,General Purpose ,Windows,OS only,8,16,750,372.03,Dedicated
India,General Purpose ,Windows,OS only,8,32,750,434.43,Dedicated
India,General Purpose ,Windows,OS only,16,32,750,667.26,Dedicated
India,General Purpose ,Windows,OS only,16,64,375,756.26,Dedicated
India,General Purpose ,Windows,OS only,16,64,750,792.26,Dedicated
India,General Purpose ,Windows,OS only,32,64,375,1221.92,Dedicated
India,General Purpose ,Windows,OS only,32,64,750,1257.92,Dedicated
India,Compute Optimized,Windows,OS only,4,16,375,223.38,Dedicated
India,Compute Optimized,Windows,OS only,8,32,375,406.96,Dedicated
India,Compute Optimized,Windows,OS only,16,64,750,809.11,Dedicated
India,Compute Optimized,Windows,OS only,2,4,750,112.92,Dedicated
India,Compute Optimized,Windows,OS only,30,120,1500,"1,521.89",Dedicated
India,Compute Optimized,Windows,OS only,30,120,3000,"1,665.89",Dedicated
India,Compute Optimized,Windows,OS only,60,240,3000,"3,038.97",Dedicated
India,Compute Optimized,Windows,OS only,16,32,750,365.74,Dedicated
India,Compute Optimized,Windows,OS only,16,64,375,390.78,Dedicated
India,Compute Optimized,Windows,OS only,16,64,750,426.78,Dedicated
India,Compute Optimized,Windows,OS only,32,64,750,654.68,Dedicated
India,Storage Optimized,Windows,OS only,16,64,750,426.78,Dedicated
India,Memory Optimized,Windows,OS only,32,64,750,654.68,Dedicated
India,Storage Optimized,Windows,SQL Server,16,64,750,426.78,Dedicated
India,Memory Optimized,Windows,OS only,32,64,750,654.68,Dedicated
India,Storage Optimized ,Windows,OS only,8,64,375,817.16,Dedicated
India,Storage Optimized ,Windows,OS only,16,128,375,"1,602.64",Dedicated
India,Storage Optimized ,Windows,OS only,32,256,375,"3,141.92",Dedicated
India,Storage Optimized ,Windows,OS only,48,384,375,"4,744.56",Dedicated
India,Storage Optimized ,Windows,OS only,64,512,375,"6,283.84",Dedicated
India,Storage Optimized ,Windows,OS only,80,640,375,"7,886.48",Dedicated
India,Memory Optimized ,Windows,OS only,1,14,375,237.54,Dedicated
India,Memory Optimized ,Windows,OS only,1,28,375,442.67,Dedicated
India,Memory Optimized ,Windows,OS only,2,28,750,474.35,Dedicated
India,Memory Optimized ,Windows,OS only,4,56,375,853.66,Dedicated
India,Memory Optimized ,Windows,OS only,4,112,375,"1,643.96",Dedicated
India,Memory Optimized ,Windows,OS only,8,112,375,"1,675.64",Dedicated
India,Memory Optimized ,Windows,OS only,4,64,375,542.68,Dedicated
India,Memory Optimized ,Windows,OS only,4,128,375,"1,053.68",Dedicated
India,Memory Optimized ,Windows,OS only,8,128,375,"1,053.68",Dedicated
India,Memory Optimized ,Windows,OS only,8,256,375,"2,076.41",Dedicated
India,Memory Optimized ,Windows,OS only,16,256,375,"2,076.41",Dedicated
India,General Purpose ,Linux,Ubuntu Pro,2,4,375,117.15,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,2,8,375,133.12,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,2,1,375,105.26,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,4,8,375,193.21,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,4,16,375,225.15,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,8,16,375,344.79,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,8,32,375,408.68,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,16,32,375,647.42,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,16,64,375,775.18,Dedicated
India,General Purpose ,Linux,Ubuntu Pro,32,64,375,"1,252.02",Dedicated
India,General Purpose ,Linux,Ubuntu Pro,32,128,375,"1,507.55",Dedicated
